Afghanistan	Pakistan	60200
India	Viet Nam	259
Indonesia	Argentina	271
Indonesia	Australia	10616
Indonesia	Belgium	3962
Indonesia	Brazil	2021
Indonesia	Canada	313
Indonesia	Chile	631
Indonesia	China	3955
Indonesia	Chinese Taipei	2399
Indonesia	Denmark	2169
Indonesia	Egypt	75
Indonesia	France	737
Indonesia	Germany	2828
Indonesia	Greece	27
Indonesia	Hong Kong (SARC)	361
Indonesia	Iceland	214
Indonesia	India	4271
Indonesia	Iraq	1072
Indonesia	Italy	1400
Indonesia	Japan	4406
Indonesia	Malaysia	38792
Indonesia	Mexico	25
Indonesia	Netherlands	1690
Indonesia	New Zealand	54
Indonesia	Norway	52
Indonesia	Peru	827
Indonesia	Philippines	120
Indonesia	Republic of Korea	1880
Indonesia	Singapore	38263
Indonesia	Spain	906
Indonesia	Sweden	215
Indonesia	Switzerland	1410
Indonesia	Thailand	6638
Indonesia	Turkey	137
Indonesia	United Arab Emirates	4907
Indonesia	United Kingdom	412
Indonesia	United States of America	3582
Indonesia	Uruguay	10
Indonesia	Viet Nam	44
Iraq	Argentina	354
Iraq	Austria	13
Iraq	Azerbaijan	604
Iraq	Canada	38
Iraq	Egypt	59527
Iraq	France	24
Iraq	India	305
Iraq	Indonesia	120808
Iraq	Jordan	79173
Iraq	Lebanon	2710
Iraq	Malaysia	195186
Iraq	Netherlands	6
Iraq	Oman	160
Iraq	Republic of Korea	53
Iraq	Romania	750
Iraq	Russian Federation	63
Iraq	Spain	134
Iraq	Sri Lanka	1417
Iraq	Turkey	365644
Iraq	Ukraine	2250
Iraq	United Arab Emirates	36508
Iraq	United States of America	5097
Ireland	Afghanistan	2
Ireland	Australia	4
Ireland	Austria	355
Ireland	Belgium	36686
Ireland	Cameroon	1
Ireland	Canada	25
Ireland	China	560
Ireland	Costa Rica	9
Ireland	Denmark	1274
Ireland	France	1935
Ireland	Gabon	34
Ireland	Germany	1550
Ireland	Ghana	69
Ireland	Greece	219
Ireland	Hong Kong (SARC)	4
Ireland	Iceland	1366
Ireland	India	4
Ireland	Indonesia	4907
Ireland	Italy	6700
Ireland	Japan	42
Ireland	Lithuania	60
Ireland	Luxembourg	2
Ireland	Malaysia	29379
Ireland	Morocco	199
Ireland	Netherlands	94670
Ireland	New Zealand	6
Ireland	Nigeria	3
Ireland	Philippines	7011
Ireland	Poland	83
Ireland	Portugal	23
Ireland	South Africa	11
Ireland	Spain	13948
Ireland	Sweden	9
Ireland	Switzerland	1
Ireland	Thailand	52
Ireland	Turkey	50
Ireland	United Arab Emirates	62
Ireland	United Kingdom	147656
Ireland	United States of America	27146
Israel	Argentina	21842
Israel	Australia	140
Israel	Belgium	25074
Israel	Brazil	2197
Israel	Canada	812
Israel	Chile	324
Israel	China	432
Israel	Chinese Taipei	195
Israel	Denmark	1196
Israel	Egypt	314
Israel	France	793
Israel	Germany	5397
Israel	Greece	182
Israel	Hong Kong (SARC)	73
Israel	India	1407
Israel	Indonesia	23315
Israel	Italy	1393
Israel	Japan	1
Israel	Jordan	3469
Israel	Lithuania	23
Israel	Luxembourg	10
Israel	Malaysia	7156
Israel	Mexico	50
Israel	Morocco	13
Israel	Netherlands	4930
Israel	New Zealand	40
Israel	Norway	51
Israel	Panama	234
Israel	Paraguay	73
Israel	Philippines	834
Israel	Poland	277
Israel	Russian Federation	448
Israel	Singapore	21162
Israel	South Africa	253
Israel	Spain	5807
Israel	Sweden	79
Israel	Switzerland	4586
Israel	Thailand	33
Israel	Turkey	1911
Israel	Ukraine	458
Israel	United Kingdom	763
Israel	United States of America	3291
Israel	Uruguay	324
Israel	Uzbekistan	1
Italy	Argentina	147285
Italy	Australia	2785
Italy	Austria	27614
Italy	Bahrain	56
Italy	Bangladesh	6
Italy	Belgium	79520
Italy	Brazil	97884
Italy	Bulgaria	13
Italy	Burkina Faso	3
Italy	Cameroon	22
Italy	Canada	279
Italy	Chile	2362
Italy	China	1333
Italy	Chinese Taipei	162
Italy	Colombia	158
Italy	Croatia	52
Italy	Czech Republic	242
Italy	CutedIvoire	65
Italy	Denmark	11827
Italy	Dominican Republic	193
Italy	Ecuador	120
Italy	Egypt	1429
Italy	Finland	220
Italy	France	304455
Italy	Germany	170026
Italy	Ghana	175
Italy	Greece	291213
Italy	Hong Kong (SARC)	7
Italy	Hungary	3116
Italy	Iceland	14
Italy	India	26511
Italy	Indonesia	387285
Italy	Ireland	1256
Italy	Israel	138
Italy	Japan	1222
Italy	Libyan Arab Jamahiriya	349
Italy	Lithuania	1632
Italy	Luxembourg	389
Italy	Malaysia	143190
Italy	Maldives	25
Italy	Mexico	244
Italy	Morocco	1643
Italy	Netherlands	206725
Italy	Nigeria	10
Italy	Norway	338
Italy	Palestine	11
Italy	Papua New Guinea	16411
Italy	Paraguay	4443
Italy	Philippines	55679
Italy	Poland	559
Italy	Portugal	11187
Italy	Republic of Korea	87
Italy	Romania	335
Italy	Russian Federation	101883
Italy	Senegal	22107
Italy	Serbia	6641
Italy	Singapore	2
Italy	Slovakia	691
Italy	Slovenia	1178
Italy	South Africa	5
Italy	Spain	1277339
Italy	Sri Lanka	37
Italy	Sweden	10023
Italy	Switzerland	2550
Italy	Syrian Arab Republic	29107
Italy	Thailand	67567
Italy	Togo	1346
Italy	Tunisia	374088
Italy	Turkey	5340
Italy	Ukraine	142790
Italy	United Arab Emirates	46288
Italy	United Kingdom	9781
Italy	United States of America	55108
Italy	Uruguay	270
Jamaica	Argentina	64
Jamaica	Australia	44
Jamaica	Barbados	491
Jamaica	Belize	6
Jamaica	Canada	23
Jamaica	China	6
Jamaica	Colombia	1924
Jamaica	Costa Rica	5
Jamaica	Denmark	68
Jamaica	Dominican Republic	309
Jamaica	Ecuador	163
Jamaica	Germany	3
Jamaica	Guyana	7
Jamaica	India	5
Jamaica	Indonesia	1718
Jamaica	Italy	403
Jamaica	Malaysia	247
Jamaica	New Zealand	100
Jamaica	Spain	270
Jamaica	Suriname	118
Jamaica	Trinidad and Tobago	2358
Jamaica	Turkey	68
Jamaica	United Kingdom	8
Jamaica	United States of America	56066
Japan	Angola	477
Japan	Argentina	23641
Japan	Australia	10821
Japan	Austria	121
Japan	Bangladesh	12
Japan	Belgium	980
Japan	Bolivia	91
Japan	Brazil	25103
Japan	Burkina Faso	2
Japan	Canada	89811
Japan	Central African Republic	23
Japan	Chile	8472
Japan	China	58472
Japan	Chinese Taipei	16644
Japan	Colombia	473
Japan	Croatia	10
Japan	Cyprus	2
Japan	Czech Republic	40
Japan	CutedIvoire	56
Japan	Denmark	2948
Japan	Ecuador	966
Japan	Egypt	154
Japan	Ethiopia	582
Japan	Finland	4
Japan	France	8806
Japan	French Polynesia	5
Japan	Germany	5615
Japan	Ghana	106
Japan	Greece	2758
Japan	Hong Kong (SARC)	373
Japan	Iceland	558
Japan	India	54904
Japan	Indonesia	10240
Japan	Iran (Islamic Republic of)	3
Japan	Ireland	3
Japan	Israel	521
Japan	Italy	113799
Japan	Jordan	40
Japan	Kenya	181
Japan	Libyan Arab Jamahiriya	674
Japan	Madagascar	2
Japan	Malaysia	760670
Japan	Maldives	14
Japan	Mali	10
Japan	Mexico	29178
Japan	Mongolia	97
Japan	Morocco	612
Japan	Mozambique	1966
Japan	Myanmar	2
Japan	Namibia	46
Japan	Netherlands	4848
Japan	New Zealand	2612
Japan	Norway	752
Japan	Palestine	9
Japan	Peru	6940
Japan	Philippines	84142
Japan	Portugal	1907
Japan	Republic of Korea	4142
Japan	Senegal	9
Japan	Singapore	7075
Japan	South Africa	132
Japan	Spain	76224
Japan	Sri Lanka	1076
Japan	Sweden	2945
Japan	Switzerland	139
Japan	Syrian Arab Republic	77
Japan	Thailand	21360
Japan	Tunisia	13
Japan	Turkey	15783
Japan	United Kingdom	3712
Japan	United Republic of Tanzania	1551
Japan	United States of America	105402
Japan	Uruguay	1330
Japan	Viet Nam	19265
Jordan	Argentina	1044
Jordan	Australia	4
Jordan	Bangladesh	4
Jordan	Belgium	136
Jordan	Brazil	239
Jordan	Canada	10
Jordan	China	4358
Jordan	Chinese Taipei	7
Jordan	Denmark	27
Jordan	Egypt	6543
Jordan	France	77
Jordan	Germany	89
Jordan	Greece	958
Jordan	India	10338
Jordan	Indonesia	100835
Jordan	Israel	8
Jordan	Italy	54
Jordan	Lebanon	31
Jordan	Malaysia	36986
Jordan	Netherlands	12
Jordan	Oman	1386
Jordan	Palestine	1329
Jordan	Paraguay	399
Jordan	Poland	1
Jordan	Saudi Arabia	24106
Jordan	Singapore	827
Jordan	Spain	395
Jordan	Sweden	1
Jordan	Syrian Arab Republic	12963
Jordan	Thailand	21
Jordan	Tunisia	4039
Jordan	Turkey	3761
Jordan	United Arab Emirates	15924
Jordan	United Kingdom	54
Jordan	United States of America	21163
Jordan	Uruguay	239
Jordan	Yemen	600
Kazakhstan	Argentina	44
Kazakhstan	Austria	2
Kazakhstan	Azerbaijan	81
Kazakhstan	Belarus	284
Kazakhstan	Belgium	113
Kazakhstan	Canada	11
Kazakhstan	China	260
Kazakhstan	Denmark	110
Kazakhstan	France	8
Kazakhstan	Germany	1874
Kazakhstan	Greece	146
Kazakhstan	Hungary	13
Kazakhstan	India	25
Kazakhstan	Indonesia	6367
Kazakhstan	Iran (Islamic Republic of)	2136
Kazakhstan	Italy	246
Kazakhstan	Kyrgyzstan	10890
Kazakhstan	Latvia	7
Kazakhstan	Lithuania	106
Kazakhstan	Malaysia	10880
Kazakhstan	Morocco	2
Kazakhstan	Netherlands	87
Kazakhstan	Oman	16
Kazakhstan	Poland	88
Kazakhstan	Republic of Korea	34
Kazakhstan	Republic of Moldova	1325
Kazakhstan	Russian Federation	164118
Kazakhstan	Saudi Arabia	1
Kazakhstan	Singapore	6401
Kazakhstan	Slovenia	5
Kazakhstan	Spain	1067
Kazakhstan	Sweden	1
Kazakhstan	Switzerland	7
Kazakhstan	Syrian Arab Republic	2
Kazakhstan	Thailand	1
Kazakhstan	Tunisia	9
Kazakhstan	Turkey	7758
Kazakhstan	Turkmenistan	88
Kazakhstan	Ukraine	54497
Kazakhstan	United Arab Emirates	120
Kazakhstan	United Kingdom	1
Kazakhstan	United States of America	24
Kazakhstan	Uzbekistan	4594
Kenya	Argentina	7800
Kenya	Belgium	46
Kenya	Brazil	6200
Kenya	Canada	284
Kenya	China	152
Kenya	Denmark	20
Kenya	Egypt	121
Kenya	Ethiopia	6
Kenya	France	19
Kenya	Germany	98
Kenya	Hong Kong (SARC)	16
Kenya	Iceland	32
Kenya	India	3239
Kenya	Indonesia	288800
Kenya	Italy	2006
Kenya	Malawi	476
Kenya	Malaysia	16329
Kenya	Mauritius	62
Kenya	Netherlands	5
Kenya	New Zealand	148
Kenya	Saudi Arabia	25
Kenya	Singapore	162658
Kenya	South Africa	1166
Kenya	Spain	90
Kenya	Switzerland	3
Kenya	Turkey	87
Kenya	Uganda	1687
Kenya	United Arab Emirates	109
Kenya	United Kingdom	211
Kenya	United Republic of Tanzania	1177
Kenya	United States of America	12757
Lao People's Democratic Republic	France	252
Lao People's Democratic Republic	Italy	2
Lao People's Democratic Republic	Malaysia	42
Lao People's Democratic Republic	Thailand	7602
Lao People's Democratic Republic	United States of America	48
Lao People's Democratic Republic	Viet Nam	6
Latvia	Argentina	152
Latvia	Austria	10
Latvia	Belarus	1834
Latvia	Belgium	1053
Latvia	China	35
Latvia	Czech Republic	68
Latvia	Denmark	2548
Latvia	Estonia	22774
Latvia	Finland	497
Latvia	France	516
Latvia	Germany	13097
Latvia	Greece	73
Latvia	India	263
Latvia	Indonesia	752
Latvia	Israel	2
Latvia	Italy	5417
Latvia	Lithuania	21788
Latvia	Malaysia	33
Latvia	Netherlands	11510
Latvia	Norway	10
Latvia	Poland	13049
Latvia	Portugal	27
Latvia	Republic of Moldova	26
Latvia	Russian Federation	535
Latvia	Spain	1637
Latvia	Sweden	6502
Latvia	Ukraine	367
Latvia	United Kingdom	370
Latvia	United States of America	89
Lebanon	Australia	3
Lebanon	Belgium	1237
Lebanon	Brazil	2263
Lebanon	Canada	985
Lebanon	China	110
Lebanon	Cyprus	264
Lebanon	Denmark	173
Lebanon	Egypt	26631
Lebanon	France	3441
Lebanon	Germany	289
Lebanon	Greece	47
Lebanon	India	214
Lebanon	Indonesia	2858
Lebanon	Italy	273
Lebanon	Japan	16
Lebanon	Jordan	70
Lebanon	Malaysia	13224
Lebanon	Morocco	1816
Lebanon	Netherlands	924
Lebanon	New Zealand	5
Lebanon	Oman	583
Lebanon	Pakistan	2
Lebanon	Philippines	1
Lebanon	Russian Federation	63
Lebanon	Saudi Arabia	15939
Lebanon	Singapore	4613
Lebanon	Spain	192
Lebanon	Sri Lanka	13
Lebanon	Sweden	103
Lebanon	Syrian Arab Republic	8206
Lebanon	Thailand	22
Lebanon	Trinidad and Tobago	18
Lebanon	Tunisia	983
Lebanon	Turkey	3452
Lebanon	Ukraine	89
Lebanon	United Arab Emirates	10961
Lebanon	United Kingdom	49
Lebanon	United States of America	2623
Lesotho	Chinese Taipei	2
Liberia	Brazil	20
Liberia	Bulgaria	2
Liberia	Canada	1
Liberia	India	33
Liberia	Indonesia	1500
Liberia	Lebanon	80
Liberia	Malaysia	10244
Liberia	Namibia	1
Liberia	Netherlands	1625
Liberia	Tunisia	21
Liberia	United Arab Emirates	15
Liberia	United Kingdom	11
Liberia	United States of America	775
Libyan Arab Jamahiriya	Argentina	478
Libyan Arab Jamahiriya	Belgium	42
Libyan Arab Jamahiriya	Denmark	50
Libyan Arab Jamahiriya	Egypt	34276
Libyan Arab Jamahiriya	France	6
Libyan Arab Jamahiriya	Germany	26
Libyan Arab Jamahiriya	Greece	6
Libyan Arab Jamahiriya	Hong Kong (SARC)	9
Libyan Arab Jamahiriya	Italy	70
Libyan Arab Jamahiriya	Malaysia	1812
Libyan Arab Jamahiriya	Malta	7
Libyan Arab Jamahiriya	Morocco	3174
Libyan Arab Jamahiriya	Pakistan	11
Libyan Arab Jamahiriya	Portugal	8945
Libyan Arab Jamahiriya	Republic of Korea	378
Libyan Arab Jamahiriya	Russian Federation	94
Libyan Arab Jamahiriya	Singapore	844
Libyan Arab Jamahiriya	Slovakia	170
Libyan Arab Jamahiriya	Spain	26924
Libyan Arab Jamahiriya	Tunisia	138941
Libyan Arab Jamahiriya	Turkey	2331
Libyan Arab Jamahiriya	United Arab Emirates	2799
Libyan Arab Jamahiriya	United Kingdom	1
Lithuania	Argentina	4547
Lithuania	Australia	9
Lithuania	Austria	363
Lithuania	Belarus	3921
Lithuania	Belgium	4687
Lithuania	Bulgaria	8
Lithuania	Canada	68
Lithuania	China	17
Lithuania	Czech Republic	1115
Lithuania	Denmark	4289
Lithuania	Estonia	25688
Lithuania	Finland	5238
Lithuania	France	939
Lithuania	Germany	47450
Lithuania	Greece	155
Lithuania	Iceland	306
Lithuania	Indonesia	31
Lithuania	Ireland	1
Lithuania	Israel	1
Lithuania	Italy	2200
Lithuania	Latvia	10517
Lithuania	Madagascar	2
Lithuania	Malaysia	3862
Lithuania	Netherlands	12723
Lithuania	Norway	1191
Lithuania	Philippines	9
Lithuania	Poland	15948
Lithuania	Portugal	16
Lithuania	Republic of Moldova	69
Lithuania	Russian Federation	18948
Lithuania	Slovakia	22
Lithuania	South Africa	2
Lithuania	Spain	3301
Lithuania	Sweden	3702
Lithuania	Switzerland	1
Lithuania	Ukraine	30243
Lithuania	United Kingdom	896
Lithuania	United States of America	150
Lithuania	Uzbekistan	16
Luxembourg	Austria	35
Luxembourg	Azerbaijan	12
Luxembourg	Belgium	17430
Luxembourg	France	2445
Luxembourg	Germany	5363
Luxembourg	Greece	5
Luxembourg	Italy	2165
Luxembourg	Netherlands	285
Luxembourg	Portugal	1385
Luxembourg	Spain	45
Luxembourg	United Kingdom	170
Macao (SAR)	Australia	468
Macao (SAR)	Belgium	2
Macao (SAR)	Brazil	296
Macao (SAR)	Canada	194
Macao (SAR)	China	4456
Macao (SAR)	Chinese Taipei	317
Macao (SAR)	Denmark	4
Macao (SAR)	France	27
Macao (SAR)	Greece	11
Macao (SAR)	Hong Kong (SARC)	6615
Macao (SAR)	India	9
Macao (SAR)	Indonesia	41
Macao (SAR)	Italy	187
Macao (SAR)	Japan	104
Macao (SAR)	Malaysia	608
Macao (SAR)	Netherlands	25
Macao (SAR)	New Zealand	1
Macao (SAR)	Philippines	2
Macao (SAR)	Portugal	778
Macao (SAR)	Republic of Korea	5
Macao (SAR)	Singapore	25
Macao (SAR)	Spain	51
Macao (SAR)	Sri Lanka	13
Macao (SAR)	Thailand	6
Macao (SAR)	Turkey	16
Macao (SAR)	United Kingdom	38
Macao (SAR)	United States of America	788
Madagascar	Argentina	35288
Madagascar	Australia	5425
Madagascar	Belgium	18
Madagascar	Brazil	15200
Madagascar	China	240
Madagascar	Denmark	2822
Madagascar	Egypt	25
Madagascar	France	249
Madagascar	Greece	1
Madagascar	India	5
Madagascar	Indonesia	10753
Madagascar	Italy	351
Madagascar	Lebanon	12
Madagascar	Malaysia	10047
Madagascar	Mauritius	133
Madagascar	Morocco	269
Madagascar	Mozambique	57
Madagascar	Netherlands	15
Madagascar	Singapore	544
Madagascar	South Africa	504
Madagascar	Spain	4
Madagascar	Syrian Arab Republic	9
Madagascar	Thailand	3
Madagascar	Turkey	3
Madagascar	United Arab Emirates	10
Madagascar	United Kingdom	44
Madagascar	United Republic of Tanzania	1
Madagascar	United States of America	1554
Malawi	Argentina	1391
Malawi	Australia	96
Malawi	China	3
Malawi	Egypt	9
Malawi	Germany	201
Malawi	Hong Kong (SARC)	84
Malawi	India	758
Malawi	Indonesia	565
Malawi	Italy	9
Malawi	Kenya	2459
Malawi	Lebanon	1
Malawi	Malaysia	2047
Malawi	Mozambique	5835
Malawi	Seychelles	1390
Malawi	Singapore	10
Malawi	South Africa	28404
Malawi	United Arab Emirates	226
Malawi	United Republic of Tanzania	8
Malawi	United States of America	674
Malawi	Zambia	121
Malawi	Zimbabwe	139
Malaysia	Argentina	60974
Malaysia	Australia	13296
Malaysia	Bangladesh	34
Malaysia	Belgium	4533
Malaysia	Brazil	40953
Malaysia	Brunei Darussalam	1
Malaysia	Cambodia	264
Malaysia	Canada	38675
Malaysia	Chile	71
Malaysia	China	17432
Malaysia	Chinese Taipei	2155
Malaysia	Costa Rica	11
Malaysia	Denmark	1024
Malaysia	Ecuador	157
Malaysia	France	797
Malaysia	Germany	2220
Malaysia	Greece	33
Malaysia	Hong Kong (SARC)	207
Malaysia	India	37513
Malaysia	Indonesia	1089908
Malaysia	Ireland	4
Malaysia	Italy	2131
Malaysia	Japan	8225
Malaysia	Lebanon	4
Malaysia	Netherland Antilles	62
Malaysia	Netherlands	5006
Malaysia	New Zealand	903
Malaysia	Norway	448
Malaysia	Papua New Guinea	24699
Malaysia	Peru	633
Malaysia	Philippines	23135
Malaysia	Portugal	98
Malaysia	Republic of Korea	1107
Malaysia	Russian Federation	537
Malaysia	Saudi Arabia	148
Malaysia	Singapore	38603
Malaysia	Solomon Islands	46
Malaysia	South Africa	6
Malaysia	Spain	788
Malaysia	Sri Lanka	3
Malaysia	Sweden	232
Malaysia	Switzerland	513
Malaysia	Syrian Arab Republic	12
Malaysia	Thailand	129180
Malaysia	Turkey	606
Malaysia	Ukraine	1878
Malaysia	United Arab Emirates	1159
Malaysia	United Kingdom	1053
Malaysia	United States of America	7943
Malaysia	Uruguay	25
Malaysia	Viet Nam	6942
Maldives	Argentina	36
Maldives	Australia	88
Maldives	Belgium	5
Maldives	Brazil	1
Maldives	China	6
Maldives	France	5
Maldives	Germany	19
Maldives	India	139
Maldives	Indonesia	822
Maldives	Italy	382
Maldives	Malaysia	1255
Maldives	Mauritius	4
Maldives	Netherlands	2
Maldives	Philippines	2
Maldives	Seychelles	11
Maldives	Singapore	2635
Maldives	Spain	476
Maldives	Sri Lanka	217
Maldives	Sweden	6
Maldives	Switzerland	4
Maldives	Thailand	110
Maldives	Turkey	318
Maldives	United Arab Emirates	315
Maldives	United Kingdom	2
Maldives	United States of America	62
Mali	Burkina Faso	377
Mali	Canada	2730
Mali	China	389
Mali	CutedIvoire	39606
Mali	Egypt	55
Mali	France	415
Mali	Gambia	19
Mali	Ghana	162
Mali	India	10
Mali	Indonesia	299
Mali	Italy	4
Mali	Lebanon	45
Mali	Malaysia	7815
Mali	Mauritania	340
Mali	Morocco	59
Mali	Netherlands	320
Mali	Senegal	69
Mali	Singapore	1922
Mali	Spain	10
Mali	Syrian Arab Republic	10
Mali	Togo	123
Mali	United Arab Emirates	61
Mali	United States of America	444
Malta	Australia	1356
Malta	Belgium	2900
Malta	China	2
Malta	Cyprus	29
Malta	Czech Republic	20
Malta	Denmark	26
Malta	Egypt	89
Malta	Finland	100
Malta	France	2057
Malta	Germany	356
Malta	Greece	292
Malta	Italy	3729
Malta	Kuwait	86
Malta	Malaysia	265
Malta	Netherlands	3111
Malta	Singapore	2
Malta	Spain	1578
Malta	Thailand	1
Malta	Tunisia	219
Malta	Turkey	18
Malta	United Arab Emirates	576
Malta	United Kingdom	3533
Malta	United States of America	47
Marshall Islands	Australia	1
Marshall Islands	Bulgaria	1
Marshall Islands	Chinese Taipei	15
Marshall Islands	Hong Kong (SARC)	4
Marshall Islands	Indonesia	12
Marshall Islands	Philippines	1
Marshall Islands	United States of America	70
Mauritius	Albania	3
Mauritius	Argentina	25450
Mauritius	Australia	2279
Mauritius	Belgium	1577
Mauritius	Brazil	4122
Mauritius	China	52
Mauritius	Denmark	105
Mauritius	Egypt	826
Mauritius	France	324
Mauritius	Germany	593
Mauritius	Hong Kong (SARC)	6
Mauritius	India	47
Mauritius	Indonesia	153
Mauritius	Israel	1
Mauritius	Italy	833
Mauritius	Malaysia	11892
Mauritius	Morocco	82
Mauritius	Netherlands	134
Mauritius	Pakistan	1
Mauritius	Paraguay	3105
Mauritius	Singapore	601
Mauritius	South Africa	3180
Mauritius	Spain	1342
Mauritius	Switzerland	5
Mauritius	Thailand	8
Mauritius	Tunisia	107
Mauritius	Turkey	33
Mauritius	United Arab Emirates	177
Mauritius	United Kingdom	111
Mexico	Argentina	42766
Mexico	Australia	492
Mexico	Belgium	142
Mexico	Brazil	3317
Mexico	Canada	22772
Mexico	Chile	1780
Mexico	China	376
Mexico	Chinese Taipei	537
Mexico	Colombia	6192
Mexico	Costa Rica	141181
Mexico	Denmark	1492
Mexico	Ecuador	27105
Mexico	Finland	1
Mexico	France	1576
Mexico	Georgia	35
Mexico	Germany	3309
Mexico	Ghana	17
Mexico	Greece	1
Mexico	Guatemala	106938
Mexico	Guinea	18
Mexico	Honduras	107728
Mexico	Hong Kong (SARC)	20
Mexico	Hungary	11
Mexico	Iceland	261
Mexico	India	6814
Mexico	Indonesia	4327
Mexico	Israel	3
Mexico	Italy	11093
Mexico	Japan	281
Mexico	Kenya	2
Mexico	Lebanon	2
Mexico	Malaysia	1061
Mexico	Netherlands	612
Mexico	New Zealand	889
Mexico	Nicaragua	13926
Mexico	Norway	333
Mexico	Paraguay	1759
Mexico	Peru	173
Mexico	Philippines	7
Mexico	Portugal	10
Mexico	Republic of Korea	20
Mexico	Singapore	242
Mexico	South Africa	278
Mexico	Spain	41836
Mexico	Sweden	132
Mexico	Switzerland	9066
Mexico	Thailand	269
Mexico	Tunisia	2
Mexico	Turkey	32
Mexico	United Kingdom	825
Mexico	United States of America	954981
Mexico	Uruguay	1217
Mexico	Venezuela	3
Micronesia (Federated States of)	Hong Kong (SARC)	2
Micronesia (Federated States of)	Indonesia	173
Micronesia (Federated States of)	Japan	9
Micronesia (Federated States of)	Philippines	14
Micronesia (Federated States of)	Republic of Korea	7
Micronesia (Federated States of)	United States of America	20
Montenegro	Austria	1
Montenegro	Bosnia and Herzegovina	412
Montenegro	China	87
Montenegro	Croatia	1310
Montenegro	Germany	265
Montenegro	Greece	115
Montenegro	Hungary	1456
Montenegro	Italy	436
Montenegro	Malaysia	402
Montenegro	Serbia	20329
Montenegro	Slovenia	165
Montenegro	Spain	47
Montenegro	United States of America	27
Montserrat	Spain	3
Montserrat	Trinidad and Tobago	34
Montserrat	United Arab Emirates	1
Montserrat	United States of America	174
Morocco	Argentina	278094
Morocco	Belgium	1293
Morocco	Brazil	59218
Morocco	Burkina Faso	1
Morocco	China	1034
Morocco	Denmark	56
Morocco	Egypt	2807
Morocco	France	2471
Morocco	Germany	223
Morocco	Iceland	3
Morocco	India	408
Morocco	Indonesia	23917
Morocco	Italy	434
Morocco	Japan	7
Morocco	Lebanon	2
Morocco	Malaysia	8124
Morocco	Mauritania	162
Morocco	Mexico	7
Morocco	Netherlands	9621
Morocco	Peru	5
Morocco	Portugal	163
Morocco	Russian Federation	2102
Morocco	Saudi Arabia	1
Morocco	Singapore	1
Morocco	South Africa	6
Morocco	Spain	20427
Morocco	Sweden	2801
Morocco	Switzerland	1
Morocco	Tunisia	15469
Morocco	Turkey	1699
Morocco	Ukraine	11572
Morocco	United Arab Emirates	6512
Morocco	United Kingdom	4042
Morocco	United States of America	165366
Mozambique	Argentina	13631
Mozambique	Australia	34
Mozambique	Belgium	43
Mozambique	Brazil	4848
Mozambique	China	53
Mozambique	Denmark	204
Mozambique	Egypt	11
Mozambique	Hong Kong (SARC)	44
Mozambique	India	872
Mozambique	Indonesia	17086
Mozambique	Iran (Islamic Republic of)	1
Mozambique	Italy	6
Mozambique	Japan	2
Mozambique	Lebanon	1
Mozambique	Madagascar	1
Mozambique	Malaysia	41554
Mozambique	Mauritania	887
Mozambique	Mauritius	1482
Mozambique	Netherlands	60
Mozambique	New Zealand	28
Mozambique	Pakistan	61
Mozambique	Portugal	1148
Mozambique	Seychelles	10679
Mozambique	Singapore	1491
Mozambique	South Africa	16334
Mozambique	Spain	47
Mozambique	Swaziland	1
Mozambique	Thailand	816
Mozambique	United Arab Emirates	197
Mozambique	United Kingdom	177
Mozambique	United States of America	92
Myanmar	China	18
Myanmar	Chinese Taipei	3
Myanmar	Germany	141
Myanmar	India	25
Myanmar	Indonesia	144311
Myanmar	Italy	2
Myanmar	Japan	21
Myanmar	Malaysia	78999
Myanmar	Philippines	20
Myanmar	Singapore	197
Myanmar	Spain	42
Myanmar	Thailand	101420
Myanmar	Turkey	11
Myanmar	United Kingdom	2
Namibia	Andorra	1
Namibia	Argentina	55
Namibia	Azerbaijan	6
Namibia	Belgium	227
Namibia	Botswana	17
Namibia	China	2
Namibia	Chinese Taipei	1
Namibia	Egypt	4
Namibia	Germany	16
Namibia	Hong Kong (SARC)	160
Namibia	India	58
Namibia	Indonesia	58
Namibia	Italy	122
Namibia	Malaysia	601
Namibia	Netherlands	61
Namibia	Papua New Guinea	85
Namibia	Portugal	28
Namibia	Singapore	1003
Namibia	South Africa	34161
Namibia	Spain	62
Nauru	Australia	11
Netherland Antilles	Antigua and Barbuda	122
Netherland Antilles	Argentina	1096
Netherland Antilles	Aruba	20
Netherland Antilles	Canada	478
Netherland Antilles	China	4
Netherland Antilles	Colombia	250
Netherland Antilles	Dominican Republic	141
Netherland Antilles	Hong Kong (SARC)	6
Netherland Antilles	Italy	3
Netherland Antilles	Netherlands	1011
Netherland Antilles	Spain	69
Netherland Antilles	Suriname	244
Netherland Antilles	Trinidad and Tobago	989
Netherland Antilles	United Kingdom	10
Netherland Antilles	United States of America	4162
Netherland Antilles	Venezuela	79
Netherlands	Argentina	250958
Netherlands	Australia	65
Netherlands	Austria	4929
Netherlands	Belgium	399842
Netherlands	Bolivia	14406
Netherlands	Bosnia and Herzegovina	1
Netherlands	Brazil	64022
Netherlands	Burkina Faso	877
Netherlands	Cambodia	544
Netherlands	Canada	10242
Netherlands	Chile	2745
Netherlands	China	10204
Netherlands	Chinese Taipei	413
Netherlands	Colombia	27595
Netherlands	Congo	10
Netherlands	Croatia	7
Netherlands	Czech Republic	1149
Netherlands	CutedIvoire	25631
